lu/lu_aarch64_init.out  :
section                       size      addr
.note.gnu.build-id              36   4194648
.text                        93328   4194688
.rodata                       7228   4288016
.eh_frame                     2216   4295248
.got                            64   4390824
.got.plt                        24   4390888
.data                          264   4390912
.bss                     606504780   4391184
.comment                       225         0
.debug_str                    7015         0
.debug_loc                   84918         0
.debug_abbrev                17978         0
.debug_info                  67028         0
.debug_macinfo                  82         0
.debug_frame                  6048         0
.debug_line                  33805         0
.debug_ranges                 6224         0
.debug_aranges                  48         0
.note.gnu.gold-version          28         0
Total                    606831339


